,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,REAC,REAC:R-HSA-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",0.0018798581091761816,True,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",127,23,5,10842,0.21739130434782608,0.03937007874015748,query_1,['REAC:R-HSA-1428517']
1,REAC,REAC:R-HSA-9707564,Cytoprotection by HMOX1,0.0025691865290237057,True,Cytoprotection by HMOX1,62,23,4,10842,0.17391304347826086,0.06451612903225806,query_1,['REAC:R-HSA-9711123']
2,GO:CC,GO:0070069,cytochrome complex,0.0037275863878524175,True,"""A protein complex in which at least one of the proteins is a cytochrome, i.e. a heme-containing protein involved in catalysis of redox reactions."" [GOC:mah]",40,28,3,22097,0.10714285714285714,0.075,query_1,['GO:1902494']
3,HPA,HPA:0470672,skin 2; melanocytes[≥Medium],0.004907145812941597,True,skin 2; melanocytes[≥Medium],640,23,8,11019,0.34782608695652173,0.0125,query_1,['HPA:0470671']
4,CORUM,CORUM:6442,"Cytochrome c oxidase, mitochondrial",0.006395082337142658,True,"Cytochrome c oxidase, mitochondrial",12,14,3,3383,0.21428571428571427,0.25,query_1,['CORUM:0000000']
5,GO:CC,GO:0005743,mitochondrial inner membrane,0.00783921630265195,True,"""The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."" [GOC:ai]",512,28,6,22097,0.21428571428571427,0.01171875,query_1,"['GO:0019866', 'GO:0031966']"
6,GO:CC,GO:0098798,mitochondrial protein-containing complex,0.00796901283336022,True,"""A protein complex that is part of a mitochondrion."" [GOC:dos]",306,28,5,22097,0.17857142857142858,0.016339869281045753,query_1,"['GO:0005739', 'GO:0032991']"
7,GO:CC,GO:1902494,catalytic complex,0.00798384502530997,True,"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]",1776,28,10,22097,0.35714285714285715,0.00563063063063063,query_1,['GO:0032991']
8,GO:CC,GO:0031966,mitochondrial membrane,0.008932645124838061,True,"""Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."" [GOC:mah, NIF_Subcellular:sao1045389829]",782,28,7,22097,0.25,0.008951406649616368,query_1,"['GO:0005740', 'GO:0031090']"
9,REAC,REAC:R-HSA-1428517,The citric acid (TCA) cycle and respiratory electron transport,0.009431636462527817,True,The citric acid (TCA) cycle and respiratory electron transport,177,23,5,10842,0.21739130434782608,0.02824858757062147,query_1,['REAC:R-HSA-1430728']
10,HPA,HPA:0130201,colon; endothelial cells[≥Low],0.01009170045260752,True,colon; endothelial cells[≥Low],5675,23,21,11019,0.9130434782608695,0.0037004405286343613,query_1,['HPA:0130000']
11,KEGG,KEGG:04714,Thermogenesis,0.01025534400061775,True,Thermogenesis,232,20,5,8484,0.25,0.021551724137931036,query_1,['KEGG:00000']
12,GO:CC,GO:0098800,inner mitochondrial membrane protein complex,0.010615914533448201,True,"""Any protein complex that is part of the inner mitochondrial membrane."" [GOC:dos]",162,28,4,22097,0.14285714285714285,0.024691358024691357,query_1,"['GO:0005743', 'GO:0098796', 'GO:0098798']"
13,WP,WP:WP4922,Mitochondrial complex IV assembly,0.011186228210581455,True,Mitochondrial complex IV assembly,34,22,3,8286,0.13636363636363635,0.08823529411764706,query_1,['WP:000000']
14,HPA,HPA:0470671,skin 2; melanocytes[≥Low],0.011893308381948929,True,skin 2; melanocytes[≥Low],724,23,8,11019,0.34782608695652173,0.011049723756906077,query_1,['HPA:0470000']
15,GO:CC,GO:0005740,mitochondrial envelope,0.01313258852801281,True,"""The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."" [GOC:ai, GOC:pz]",831,28,7,22097,0.25,0.00842358604091456,query_1,"['GO:0005739', 'GO:0031967']"
16,GO:CC,GO:0019866,organelle inner membrane,0.013963881105551355,True,"""The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites."" [GOC:mah]",568,28,6,22097,0.21428571428571427,0.01056338028169014,query_1,"['GO:0031090', 'GO:0031967']"
17,KEGG,KEGG:00190,Oxidative phosphorylation,0.014973483304734863,True,Oxidative phosphorylation,134,20,4,8484,0.2,0.029850746268656716,query_1,['KEGG:00000']
18,HPA,HPA:0460182,skin 1; cells in granular layer[≥Medium],0.017437441289607173,True,skin 1; cells in granular layer[≥Medium],558,23,7,11019,0.30434782608695654,0.012544802867383513,query_1,['HPA:0460181']
19,WP,WP:WP111,Electron transport chain OXPHOS system in mitochondria,0.017471800851063944,True,Electron transport chain OXPHOS system in mitochondria,104,22,4,8286,0.18181818181818182,0.038461538461538464,query_1,['WP:000000']
20,REAC,REAC:R-HSA-611105,Respiratory electron transport,0.01922232891151149,True,Respiratory electron transport,103,23,4,10842,0.17391304347826086,0.038834951456310676,query_1,['REAC:R-HSA-163200']
21,GO:BP,GO:0048024,"regulation of mRNA splicing, via spliceosome",0.02618327780662169,True,"""Any process that modulates the frequency, rate or extent of mRNA splicing via a spliceosomal mechanism."" [GOC:jid]",112,28,4,21031,0.14285714285714285,0.03571428571428571,query_1,"['GO:0000398', 'GO:0043484', 'GO:0050684']"
22,HPA,HPA:0130052,colon; glandular cells[≥Medium],0.027991417517825783,True,colon; glandular cells[≥Medium],5988,23,21,11019,0.9130434782608695,0.0035070140280561123,query_1,['HPA:0130051']
23,GO:CC,GO:0031975,envelope,0.032160624606739276,True,"""A multilayered structure surrounding all or part of a cell; encompasses one or more lipid bilayers, and may include a cell wall layer; also includes the space between layers."" [GOC:mah, GOC:pz]",1299,28,8,22097,0.2857142857142857,0.006158583525789068,query_1,['GO:0110165']
